카테고리: 모든 카테고리

주,milk: (미국)
2016-12-25,68
2017-01-01,76
2017-01-08,76
2017-01-15,81
2017-01-22,73
2017-01-29,69
2017-02-05,69
2017-02-12,68
2017-02-19,70
2017-02-26,71
2017-03-05,68
2017-03-12,73
2017-03-19,69
2017-03-26,71
2017-04-02,71
2017-04-09,65
2017-04-16,68
2017-04-23,67
2017-04-30,68
2017-05-07,69
2017-05-14,65
2017-05-21,66
2017-05-28,70
2017-06-04,64
2017-06-11,67
2017-06-18,69
2017-06-25,68
2017-07-02,68
2017-07-09,71
2017-07-16,71
2017-07-23,73
2017-07-30,69
2017-08-06,70
2017-08-13,67
2017-08-20,66
2017-08-27,61
2017-09-03,65
2017-09-10,65
2017-09-17,66
2017-09-24,66
2017-10-01,66
2017-10-08,66
2017-10-15,67
2017-10-22,69
2017-10-29,64
2017-11-05,70
2017-11-12,71
2017-11-19,84
2017-11-26,66
2017-12-03,70
2017-12-10,73
2017-12-17,78
2017-12-24,78
2017-12-31,78
2018-01-07,79
2018-01-14,81
2018-01-21,76
2018-01-28,75
2018-02-04,73
2018-02-11,71
2018-02-18,73
2018-02-25,73
2018-03-04,73
2018-03-11,72
2018-03-18,72
2018-03-25,72
2018-04-01,75
2018-04-08,74
2018-04-15,76
2018-04-22,72
2018-04-29,72
2018-05-06,72
2018-05-13,68
2018-05-20,70
2018-05-27,76
2018-06-03,71
2018-06-10,72
2018-06-17,71
2018-06-24,70
2018-07-01,71
2018-07-08,73
2018-07-15,76
2018-07-22,75
2018-07-29,72
2018-08-05,73
2018-08-12,73
2018-08-19,70
2018-08-26,71
2018-09-02,70
2018-09-09,71
2018-09-16,73
2018-09-23,70
2018-09-30,73
2018-10-07,71
2018-10-14,73
2018-10-21,71
2018-10-28,69
2018-11-04,73
2018-11-11,75
2018-11-18,82
2018-11-25,73
2018-12-02,72
2018-12-09,76
2018-12-16,78
2018-12-23,84
2018-12-30,79
2019-01-06,79
2019-01-13,78
2019-01-20,79
2019-01-27,77
2019-02-03,82
2019-02-10,75
2019-02-17,76
2019-02-24,75
2019-03-03,75
2019-03-10,73
2019-03-17,75
2019-03-24,76
2019-03-31,73
2019-04-07,76
2019-04-14,77
2019-04-21,78
2019-04-28,70
2019-05-05,74
2019-05-12,71
2019-05-19,72
2019-05-26,71
2019-06-02,73
2019-06-09,75
2019-06-16,75
2019-06-23,72
2019-06-30,72
2019-07-07,71
2019-07-14,71
2019-07-21,70
2019-07-28,72
2019-08-04,71
2019-08-11,72
2019-08-18,73
2019-08-25,70
2019-09-01,69
2019-09-08,70
2019-09-15,69
2019-09-22,71
2019-09-29,69
2019-10-06,71
2019-10-13,69
2019-10-20,72
2019-10-27,71
2019-11-03,75
2019-11-10,74
2019-11-17,75
2019-11-24,86
2019-12-01,71
2019-12-08,72
2019-12-15,77
2019-12-22,86
2019-12-29,81
2020-01-05,81
2020-01-12,82
2020-01-19,84
2020-01-26,77
2020-02-02,76
2020-02-09,81
2020-02-16,79
2020-02-23,79
2020-03-01,74
2020-03-08,77
2020-03-15,83
2020-03-22,85
2020-03-29,90
2020-04-05,100
2020-04-12,95
2020-04-19,93
2020-04-26,93
2020-05-03,92
2020-05-10,91
2020-05-17,86
2020-05-24,86
2020-05-31,82
2020-06-07,81
2020-06-14,79
2020-06-21,77
2020-06-28,80
2020-07-05,77
2020-07-12,78
2020-07-19,83
2020-07-26,76
2020-08-02,75
2020-08-09,79
2020-08-16,80
2020-08-23,77
2020-08-30,76
2020-09-06,78
2020-09-13,78
2020-09-20,76
2020-09-27,75
2020-10-04,72
2020-10-11,76
2020-10-18,76
2020-10-25,74
2020-11-01,60
2020-11-08,76
2020-11-15,76
2020-11-22,97
2020-11-29,80
2020-12-06,81
2020-12-13,84
2020-12-20,90
2020-12-27,84
2021-01-03,82
2021-01-10,86
2021-01-17,79
2021-01-24,87
2021-01-31,83
2021-02-07,86
2021-02-14,89
2021-02-21,84
2021-02-28,85
2021-03-07,81
2021-03-14,74
2021-03-21,74
2021-03-28,78
2021-04-04,74
2021-04-11,78
2021-04-18,82
2021-04-25,78
2021-05-02,77
2021-05-09,80
2021-05-16,78
2021-05-23,79
2021-05-30,81
2021-06-06,75
2021-06-13,76
2021-06-20,73
2021-06-27,74
2021-07-04,75
2021-07-11,77
2021-07-18,77
2021-07-25,78
2021-08-01,78
2021-08-08,75
2021-08-15,77
2021-08-22,98
2021-08-29,78
2021-09-05,75
2021-09-12,73
2021-09-19,76
2021-09-26,74
2021-10-03,68
2021-10-10,70
2021-10-17,70
2021-10-24,68
2021-10-31,70
2021-11-07,73
2021-11-14,72
2021-11-21,86
2021-11-28,72
2021-12-05,73
2021-12-12,72
2021-12-19,85
